Glyph Number,NWL Section,NWL Pronunciation,Unicode,Unicode Name,Unicode Source
3295,Kanji,Shu,U+7A2E,,Unihan
3306,Kanji,Seki,U+7A4D,,Unihan
3313,Kanji,Ketsu,U+7A74,,Unihan
3314,Kanji,Kyū,U+7A76,,Unihan
3317,Kanji,Kū,U+7A7A,,Unihan
3325,Kanji,Chitsu,U+7A92,,Unihan
3343,Kanji,"Ryū, Ritsu",U+7ACB,,Unihan
3366,Kanji,Chiku,U+7AF9,,Unihan
3385,Kanji,"Tei, Dai",U+7B2C,,Unihan
3396,Kanji,Tō,U+7B49,,Unihan
3397,Kanji,Hitsu,U+7B46,,Unihan
3415,Kanji,San,U+7B97,,Unihan
3416,Kanji,Kan,U+7BA1,,Unihan
3458,Kanji,Rō,U+7C60,,Unihan
3461,Kanji,"Bei, Mai",U+7C73,,Unihan
3468,Kanji,Ryō,U+6599,,Unihan
3471,Kanji,Ryū,U+7C92,,Unihan
3472,Kanji,Nen,U+7C98,,Unihan
3492,Kanji,Shi,U+7CF8,,Unihan
3496,Kanji,Kyū,U+7D1A,,Unihan
3509,Kanji,Jun,U+7D14,,Unihan
3510,Kanji,Shi,U+7D19,,Unihan
3511,Kanji,"So, Su",U+7D20,,Unihan
3520,Kanji,So,U+7D44,,Unihan
3521,Kanji,Shū,U+7D42,,Unihan
3522,Kanji,Sai,U+7D30,,Unihan
3523,Kanji,"Kei, Kyō",U+7D4C,,Unihan
3537,Kanji,Kai,U+7D75,,Unihan
3539,Kanji,Zetsu,U+7D76,,Unihan
3540,Kanji,Ketsu,U+7D50,,Unihan
3543,Kanji,Ken,U+7D79,,Unihan
3544,Kanji,Zoku,U+7D9A,,Unihan
3567,Kanji,Sō,U+7DCF,,Unihan
3579,Kanji,I,U+7DEF,,Unihan
3580,Kanji,Sen,U+7DDA,,Unihan
3581,Kanji,Tei,U+7DE0,,Unihan
3597,Kanji,"Shō, Jū",U+7E26,,Unihan
3644,Kanji,Chi,U+7F6E,,Unihan
3656,Kanji,Yō,U+7F8A,,Unihan
3658,Kanji,Bi,U+7F8E,,Unihan
3662,Kanji,"Shi, Sa",U+5DEE,,Unihan
3665,Kanji,Chaku,U+7740,,Unihan
3673,Kanji,U,U+7FBD,,Unihan
3676,Kanji,Sui,U+7FE0,,Unihan
3680,Kanji,Yoku,U+7FFC,,Unihan
3683,Kanji,Rō,U+8001,,Unihan
3684,Kanji,Kō,U+8003,,Unihan
3685,Kanji,Sha,U+8005,,Unihan
3697,Kanji,Ji,U+8033,,Unihan
3699,Kanji,Shu,U+53D6,,Unihan
3719,Kanji,Sho,U+66F8,,Unihan
3724,Kanji,Niku,U+8089,,Unihan
3727,Kanji,"Yū, U",U+6709,,Unihan
3749,Kanji,Hō,U+80DE,,Unihan
3785,Kanji,"Ki, Go",U+671F,,Unihan
3788,Kanji,Chō,U+671D,,Unihan
3837,Kanji,Shin,U+81E3,,Unihan
3841,Kanji,"Shi, Ji",U+81EA,,Unihan
3845,Kanji,Shi,U+81F3,,Unihan
3855,Kanji,Zetsu,U+820C,,Unihan
3856,Kanji,"Ran, Ron",U+4E71,,Unihan
3860,Kanji,Ji,U+8F9E,,Unihan
3863,Kanji,Shū,U+821F,,Unihan
3865,Kanji,Han,U+822C,,Unihan
3873,Kanji,Sen,U+8239,,Unihan
3885,Kanji,Ryō,"U+826F,U+F97C",,Unihan
3889,Kanji,"Shoku, Shiki",U+8272,,Unihan
3909,Kanji,"Ke, Ka",U+82B1,,Unihan
3926,Kanji,"Jaku, Nya",U+82E5,,Unihan
3939,Kanji,Sō,U+8349,,Unihan
3940,Kanji,"Sa, Cha",U+8336,,Unihan
3956,Kanji,Ka,U+8377,,Unihan
3981,Kanji,Kiku,U+83CA,,Unihan
4001,Kanji,Yō,U+8449,,Unihan
4002,Kanji,"Jō, Shō",U+84B8,,Unihan
4074,Kanji,Yaku,U+85AC,,Unihan
4109,Kanji,"Kyo, Ko",U+865A,,Unihan
4115,Kanji,Chū,U+866B,,Unihan
4205,Kanji,Ketsu,U+8840,,Unihan
4213,Kanji,"An, Kō, Gyō",U+884C,,Unihan
4214,Kanji,"E, I",U+8863,,Unihan
4234,Kanji,"Sō, Shō",U+88C5,,Unihan
4255,Kanji,Fuku,U+8907,,Unihan
4273,Kanji,"Sei, Sai",U+897F,,Unihan
4274,Kanji,Yō,U+8981,,Unihan
4284,Kanji,"Ken, Gen",U+898B,,Unihan
4301,Kanji,Kaku,U+89D2,,Unihan
4306,Kanji,"Ge, Kai",U+89E3,,Unihan
4309,Kanji,"Gen, Gon",U+8A00,,Unihan
4312,Kanji,Kei,U+8A08,,Unihan
4318,Kanji,Ki,U+8A18,,Unihan
4341,Kanji,Shō,U+8A3C,,Unihan
4358,Kanji,Wa,U+8A71,,Unihan
4374,Kanji,"Go, Gyo",U+8A9E,,Unihan
4375,Kanji,"Toku, Doku","U+8AAD,U+8B80,U+F95A",,Unihan
4384,Kanji,Sui,U+8AB0,,Unihan
4391,Kanji,Ron,U+8AD6,,Unihan
4458,Kanji,Koku,U+8C37,,Unihan
4465,Kanji,"Tō, Zu",U+8C46,,Unihan
4472,Kanji,"Shō, Zō",U+8C61,,Unihan
4486,Kanji,Bai,U+8C9D,,Unihan
4488,Kanji,Fu,U+8CA0,,Unihan
4518,Kanji,Shitsu,U+8CEA,,Unihan
4534,Kanji,"Seki, Shaku",U+8D64,,Unihan
4539,Kanji,Sō,U+8D70,,Unihan
4543,Kanji,Chō,U+8D85,,Unihan
4546,Kanji,Soku,U+8DB3,,Unihan
4548,Kanji,Kyo,U+8DDD,,Unihan
4561,Kanji,Ro,U+8DEF,,Unihan
4601,Kanji,Shin,U+8EAB,,Unihan
4603,Kanji,Sha,U+5C04,,Unihan
4608,Kanji,Sha,U+8ECA,,Unihan
4610,Kanji,Ki,U+8ECC,,Unihan
4615,Kanji,Ten,U+8EE2,,Unihan
4619,Kanji,Jiku,U+8EF8,,Unihan
4620,Kanji,Kei,U+8EFD,,Unihan
4623,Kanji,"Kaku, Kō",U+8F03,,Unihan
4630,Kanji,Rin,U+8F2A,,Unihan
4633,Kanji,Fuku,U+8F3B,,Unihan
4646,Kanji,Shin,U+8F9B,,Unihan
4660,Kanji,,U+8FBC,,Unihan
4661,Kanji,Hen,U+8FBA,,Unihan
4671,Kanji,Kin,U+8FD1,,Unihan
4685,Kanji,"Gyaku, Geki",U+9006,,Unihan
4700,Kanji,Soku,U+901F,,Unihan
4701,Kanji,Zō,U+9020,,Unihan
4702,Kanji,Ren,U+9023,,Unihan
4703,Kanji,"Tsu, Tō, Tsū",U+901A,,Unihan
4709,Kanji,Shin,U+9032,,Unihan
4721,Kanji,Tatsu,U+9054,,Unihan
4722,Kanji,Chi,U+9045,,Unihan
4723,Kanji,Ka,U+904E,,Unihan
4724,Kanji,Dō,U+9053,,Unihan
4725,Kanji,Un,U+904B,,Unihan
4733,Kanji,"En, On",U+9060,,Unihan
4750,Kanji,"Kan, Gen",U+9084,,Unihan
4789,Kanji,San,U+9178,,Unihan
4798,Kanji,Shū,U+919C,,Unihan
4809,Kanji,"Shaku, Seki",U+91C8,,Unihan
4811,Kanji,Ban,U+756A,,Unihan
4813,Kanji,Ri,U+91CC,,Unihan
4815,Kanji,"Kon, Kin",U+91D1,,Unihan
4843,Kanji,Kō,U+9271,,Unihan
4844,Kanji,Tetsu,U+9244,,Unihan
4853,Kanji,Dō,U+9285,,Unihan
4855,Kanji,Gin,U+9280,,Unihan
4883,Kanji,Kō,U+92FC,,Unihan
