Glyph Number,Left Bearing,Right Bearing,SVG Path
507,-10,11,M8-7L7-9 5-11 3-12-1-12-3-11-5-9-6-7-7-4-7 1-6 4-5 6-3 8-1 9 3 9 5 8 7 6 8 4 8 1M3 1L8 1
508,-11,11,M-7-12L-7 9M7-12L7 9M-7-2L7-2
509,-4,4,M0-12L0 9
510,-9,8,M4-12L4 4 3 7 2 8 0 9-2 9-4 8-5 7-6 4-6 2
511,-11,9,M-7-12L-7 9M7-12L-7 2M-2-3L7 9
512,-10,8,M-6-12L-6 9M-6 9L7 9
513,-12,12,M-8-12L-8 9M-8-12L0 9M8-12L0 9M8-12L8 9
514,-11,11,M-7-12L-7 9M-7-12L7 9M7-12L7 9
515,-11,11,M-2-12L-4-11-6-9-7-7-8-4-8 1-7 4-6 6-4 8-2 9 2 9 4 8 6 6 7 4 8 1 8-4 7-7 6-9 4-11 2-12-2-12
516,-11,10,M-7-12L-7 9M-7-12L2-12 5-11 6-10 7-8 7-5 6-3 5-2 2-1-7-1
517,-11,11,M-2-12L-4-11-6-9-7-7-8-4-8 1-7 4-6 6-4 8-2 9 2 9 4 8 6 6 7 4 8 1 8-4 7-7 6-9 4-11 2-12-2-12M2 6L7 11
518,-11,10,M-7-12L-7 9M-7-12L2-12 5-11 6-10 7-8 7-6 6-4 5-3 2-2-7-2M0-2L7 9
519,-10,10,M7-9L5-11 2-12-2-12-5-11-7-9-7-7-6-5-5-4-3-3 3-1 5 0 6 1 7 3 7 6 5 8 2 9-2 9-5 8-7 6
520,-8,8,M0-12L0 9M-7-12L7-12
521,-11,11,M-7-12L-7 3-6 6-4 8-1 9 1 9 4 8 6 6 7 3 7-12
522,-9,9,M-8-12L0 9M8-12L0 9
523,-12,12,M-10-12L-5 9M0-12L-5 9M0-12L5 9M10-12L5 9
524,-9,9,M-7-12L7 9M7-12L-7 9
525,-9,9,M-8-12L0-2 0 9M8-12L0-2
526,-9,9,M7-12L-7 9M-7-12L7-12M-7 9L7 9
527,-9,9,M0-12L-8 9M0-12L8 9M-6 4L6 4
528,-11,10,M-7-12L-7 9M-7-12L2-12 5-11 6-10 7-8 7-6 6-4 5-3 2-2M-7-2L2-2 5-1 6 0 7 2 7 5 6 7 5 8 2 9-7 9
