Glyph Number,Page,Position,NWL Section,NWL Pronunciation
2121,176,8,Kanji,"Sei, Shō"
2122,176,9,Kanji,Shun
2126,176,10,Kanji,Ji
2137,176,11,Kanji,Shō
2138,176,12,Kanji,Sho
2141,176,13,Kanji,Ryō
2143,176,14,Kanji,Sei
2146,176,15,Kanji,Sai
2154,176,16,Kanji,An
2160,176,17,Kanji,Don
2164,176,18,Kanji,Dai
2169,176,19,Kanji,"Getsu, Gatsu"
2170,176,20,Kanji,"Boku, Moku"
2194,177,1,Kanji,Seki
2210,177,2,Kanji,Rin
2211,177,3,Kanji,"Shi, Ki"
2212,177,4,Kanji,Shō
2233,177,5,Kanji,Ryū
2236,177,6,Kanji,Chū
2241,177,7,Kanji,"Sō, Shō"
2254,177,8,Kanji,Kaku
2256,177,9,Kanji,Ō
2261,177,10,Kanji,Kon
2264,177,11,Kanji,Kai
2301,177,12,Kanji,Shin
2303,177,13,Kanji,Shoku
2305,177,14,Kanji,"Kyoku, Goku"
2313,177,15,Kanji,Da
2324,177,16,Kanji,"Raku, Gaku"
2343,177,17,Kanji,Kō
2359,177,18,Kanji,Hyō
2361,177,19,Kanji,Ō
2378,177,20,Kanji,Kyō
2379,178,1,Kanji,Ki
2412,178,2,Kanji,Ketsu
2429,178,3,Kanji,Shi
2430,178,4,Kanji,Shi
2435,178,5,Kanji,Shi
2436,178,6,Kanji,Sei
2438,178,7,Kanji,Retsu
2439,178,8,Kanji,Shi
2466,178,9,Kanji,Bo
2467,178,10,Kanji,Mai
2470,178,11,Kanji,Hi
2473,178,12,Kanji,Mō
2478,178,13,Kanji,Shi
2480,178,14,Kanji,"Ki, Ke"
2482,178,15,Kanji,Sui
2503,178,16,Kanji,Taku
2507,178,17,Kanji,Ki
2509,178,18,Kanji,Ketsu
2529,178,19,Kanji,Ha
2530,178,20,Kanji,Ka
2534,179,1,Kanji,"Yu, Yū"
2535,179,2,Kanji,Hō
2553,179,3,Kanji,Kai
2565,179,4,Kanji,"Yō, Yu"
2573,179,5,Kanji,Shu
2576,179,6,Kanji,"Ru, Ryū"
2599,179,7,Kanji,Eki
2629,179,8,Kanji,Ka
2631,179,9,Kanji,Shitsu
2632,179,10,Kanji,Soku
2634,179,11,Kanji,On
2637,179,12,Kanji,Gen
2655,179,13,Kanji,"Rō, Sō"
2656,179,14,Kanji,Gen
2659,179,15,Kanji,Yō
2702,179,16,Kanji,Chō
2743,179,17,Kanji,"Ko, Ka"
2745,179,18,Kanji,"Tei, Chō, Tō"
2750,179,19,Kanji,Ro
2770,179,20,Kanji,"Zen, Nen"
2772,180,1,Kanji,Shō
2773,180,2,Kanji,"Mu, Bu"
2797,180,3,Kanji,Netsu
2807,180,4,Kanji,Rin
2808,180,5,Kanji,Nen
2829,180,6,Kanji,Ai
2832,180,7,Kanji,Fu
2839,180,8,Kanji,Jō
2842,180,9,Kanji,Hen
2848,180,10,Kanji,"Ga, Ge"
2852,180,11,Kanji,"Go, Gyū"
2857,180,12,Kanji,"Butsu, Motsu"
2860,180,13,Kanji,Toku
2868,180,14,Kanji,Ken
2922,180,15,Kanji,Ō
2923,180,16,Kanji,Gyoku
2937,180,17,Kanji,Kei
2941,180,18,Kanji,Kyū
2942,180,19,Kanji,Ri
2943,180,20,Kanji,Gen
2973,181,1,Kanji,Ka
2977,181,2,Kanji,Ga
2988,181,3,Kanji,Kan
2991,181,4,Kanji,"Shō, Sei"
2993,181,5,Kanji,Yō
2994,181,6,Kanji,Den
2996,181,7,Kanji,"Dan, Nan"
2998,181,8,Kanji,Kai
3001,181,9,Kanji,Shi
3008,181,10,Kanji,I
3042,181,11,Kanji,"Byō, Hei"
3092,181,12,Kanji,"Hotsu, Hatsu"
3095,181,13,Kanji,"Haku, Byaku"
3097,181,14,Kanji,Teki
3109,181,15,Kanji,Hi
3113,181,16,Kanji,"Bei, Myō"
3127,181,17,Kanji,Moku
3128,181,18,Kanji,Gu
3164,181,19,Kanji,"Mu, Bō"
3168,181,20,Kanji,Shi
3169,182,1,Kanji,Chi
3172,182,2,Kanji,Tan
3176,182,3,Kanji,"Seki, Shaku"
3180,182,4,Kanji,Ken
3191,182,5,Kanji,Ryū
3192,182,6,Kanji,Shō
3200,182,7,Kanji,Hō
3209,182,8,Kanji,Ji
3228,182,9,Kanji,"Ji, Shi"
3264,182,10,Kanji,Ri
3265,182,11,Kanji,Shi
3268,182,12,Kanji,"Ka, Wa"
3271,182,13,Kanji,Byō
3272,182,14,Kanji,Ka
3273,182,15,Kanji,Shū
3275,182,16,Kanji,Shō
3280,182,17,Kanji,Shō
3285,182,18,Kanji,Tei
3294,182,19,Kanji,Tō
3295,182,20,Kanji,Shu
3306,183,1,Kanji,Seki
3313,183,2,Kanji,Ketsu
3314,183,3,Kanji,Kyū
3317,183,4,Kanji,Kū
3325,183,5,Kanji,Chitsu
3343,183,6,Kanji,"Ryū, Ritsu"
3366,183,7,Kanji,Chiku
3385,183,8,Kanji,"Tei, Dai"
3396,183,9,Kanji,Tō
3397,183,10,Kanji,Hitsu
3415,183,11,Kanji,San
3416,183,12,Kanji,Kan
3458,183,13,Kanji,Rō
3461,183,14,Kanji,"Bei, Mai"
3468,183,15,Kanji,Ryō
3471,183,16,Kanji,Ryū
3472,183,17,Kanji,Nen
3492,183,18,Kanji,Shi
3496,183,19,Kanji,Kyū
3509,183,20,Kanji,Jun
3510,184,1,Kanji,Shi
3511,184,2,Kanji,"So, Su"
3520,184,3,Kanji,So
3521,184,4,Kanji,Shū
3522,184,5,Kanji,Sai
3523,184,6,Kanji,"Kei, Kyō"
3537,184,7,Kanji,Kai
3539,184,8,Kanji,Zetsu
3540,184,9,Kanji,Ketsu
3543,184,10,Kanji,Ken
3544,184,11,Kanji,Zoku
3567,184,12,Kanji,Sō
3579,184,13,Kanji,I
3580,184,14,Kanji,Sen
3581,184,15,Kanji,Tei
3597,184,16,Kanji,"Shō, Jū"
3644,184,17,Kanji,Chi
3656,184,18,Kanji,Yō
3658,184,19,Kanji,Bi
3662,184,20,Kanji,"Shi, Sa"
3665,185,1,Kanji,Chaku
3673,185,2,Kanji,U
3676,185,3,Kanji,Sui
3680,185,4,Kanji,Yoku
3683,185,5,Kanji,Rō
3684,185,6,Kanji,Kō
3685,185,7,Kanji,Sha
3697,185,8,Kanji,Ji
3699,185,9,Kanji,Shu
3719,185,10,Kanji,Sho
3724,185,11,Kanji,Niku
3727,185,12,Kanji,"Yū, U"
3749,185,13,Kanji,Hō
3785,185,14,Kanji,"Ki, Go"
3788,185,15,Kanji,Chō
3837,185,16,Kanji,Shin
3841,185,17,Kanji,"Shi, Ji"
3845,185,18,Kanji,Shi
3855,185,19,Kanji,Zetsu
3856,185,20,Kanji,"Ran, Ron"
3860,186,1,Kanji,Ji
3863,186,2,Kanji,Shū
3865,186,3,Kanji,Han
