Glyph Number,Page,Position,Section,NBS Glyph Number
664,97,4,"Simplex, Cartographic",664
665,97,5,"Simplex, Cartographic",665
666,97,6,"Simplex, Cartographic",666
667,97,7,"Simplex, Cartographic",667
668,97,8,"Simplex, Cartographic",668
669,97,9,"Simplex, Cartographic",669
670,97,10,"Simplex, Cartographic",670
671,97,11,"Simplex, Cartographic",671
672,97,12,"Simplex, Cartographic",672
673,97,13,"Simplex, Cartographic",673
674,97,14,"Simplex, Cartographic",674
675,97,15,"Simplex, Cartographic",675
676,97,16,"Simplex, Cartographic",676
683,97,17,"Simplex, Cartographic",683
684,97,18,"Simplex, Cartographic",684
685,97,19,"Simplex, Cartographic",685
686,97,20,"Simplex, Cartographic",686
698,98,2,"Simplex, Cartographic",698
699,98,3,"Simplex, Cartographic",699
700,98,4,"Simplex, Cartographic",700
701,98,5,"Simplex, Cartographic",701
702,98,6,"Simplex, Cartographic",702
703,98,7,"Simplex, Cartographic",703
704,98,8,"Simplex, Cartographic",704
705,98,9,"Simplex, Cartographic",705
706,98,10,"Simplex, Cartographic",706
707,98,11,"Simplex, Cartographic",707
708,98,12,"Simplex, Cartographic",708
709,98,13,"Simplex, Cartographic",709
710,98,14,"Simplex, Cartographic",710
711,98,15,"Simplex, Cartographic",711
712,98,16,"Simplex, Cartographic",712
713,98,17,"Simplex, Cartographic",713
714,98,18,"Simplex, Cartographic",714
715,98,19,"Simplex, Cartographic",715
716,99,1,"Simplex, Cartographic",716
717,99,2,"Simplex, Cartographic",717
718,99,3,"Simplex, Cartographic",718
719,99,4,"Simplex, Cartographic",719
720,99,5,"Simplex, Cartographic",720
721,99,6,"Simplex, Cartographic",721
722,99,7,"Simplex, Cartographic",722
723,99,8,"Simplex, Cartographic",723
724,99,9,"Simplex, Cartographic",724
725,99,10,"Simplex, Cartographic",725
726,99,11,"Simplex, Cartographic",726
727,99,12,"Simplex, Cartographic",727
728,99,13,"Simplex, Cartographic",728
729,99,14,"Simplex, Cartographic",735
730,99,15,"Simplex, Cartographic",745
731,99,16,"Simplex, Cartographic",746
732,99,17,"Simplex, Cartographic",741
733,99,18,"Simplex, Cartographic",742
734,99,19,"Simplex, Cartographic",743
735,99,20,"Simplex, Cartographic",744
800,100,1,"Simplex, Cartographic",800
801,100,2,"Simplex, Cartographic",801
802,100,3,"Simplex, Cartographic",802
803,100,4,"Simplex, Cartographic",803
804,100,5,"Simplex, Cartographic",804
805,100,6,"Simplex, Cartographic",805
806,101,1,"Simplex, Cartographic",806
807,101,2,"Simplex, Cartographic",807
808,101,3,"Simplex, Cartographic",808
809,101,4,"Simplex, Cartographic",809
810,101,5,"Simplex, Cartographic",810
811,101,6,"Simplex, Cartographic",811
812,101,7,"Simplex, Cartographic",812
813,101,8,"Simplex, Cartographic",813
814,101,9,"Simplex, Cartographic",814
815,101,10,"Simplex, Cartographic",815
816,101,11,"Simplex, Cartographic",816
817,101,12,"Simplex, Cartographic",817
820,102,1,"Simplex, Cartographic",819
821,102,4,"Simplex, Cartographic",818
822,102,2,"Simplex, Cartographic",822
823,102,5,"Simplex, Cartographic",823
824,102,3,"Simplex, Cartographic",824
825,102,6,"Simplex, Cartographic",825
830,103,1,"Simplex, Cartographic",830
831,103,2,"Simplex, Cartographic",831
832,103,3,"Simplex, Cartographic",832
833,103,4,"Simplex, Cartographic",833
834,103,5,"Simplex, Cartographic",834
840,104,1,"Simplex, Cartographic",840
841,104,2,"Simplex, Cartographic",841
842,104,3,"Simplex, Cartographic",842
843,104,4,"Simplex, Cartographic",843
844,104,5,"Simplex, Cartographic",844
845,104,6,"Simplex, Cartographic",845
846,104,7,"Simplex, Cartographic",846
847,104,8,"Simplex, Cartographic",847
850,104,9,"Simplex, Cartographic",850
851,104,10,"Simplex, Cartographic",851
852,104,11,"Simplex, Cartographic",852
853,104,12,"Simplex, Cartographic",853
854,104,13,"Simplex, Cartographic",854
855,104,14,"Simplex, Cartographic",855
856,104,15,"Simplex, Cartographic",856
857,104,16,"Simplex, Cartographic",857
860,105,1,"Simplex, Cartographic",860
861,105,2,"Simplex, Cartographic",861
862,105,3,"Simplex, Cartographic",862
863,105,4,"Simplex, Cartographic",863
864,105,5,"Simplex, Cartographic",864
865,105,6,"Simplex, Cartographic",865
866,105,7,"Simplex, Cartographic",866
867,105,8,"Simplex, Cartographic",867
868,105,9,"Simplex, Cartographic",868
870,106,1,"Simplex, Cartographic",870
871,106,2,"Simplex, Cartographic",871
872,106,3,"Simplex, Cartographic",872
873,106,4,"Simplex, Cartographic",873
874,106,5,"Simplex, Cartographic",874
899,106,6,"Simplex, Cartographic",899
900,106,7,"Simplex, Cartographic",900
901,106,8,"Simplex, Cartographic",901
902,106,9,"Simplex, Cartographic",902
903,106,10,"Simplex, Cartographic",903
904,106,11,"Simplex, Cartographic",904
905,106,12,"Simplex, Cartographic",905
906,107,1,"Simplex, Cartographic",906
907,107,2,"Simplex, Cartographic",907
908,107,3,"Simplex, Cartographic",908
909,107,4,"Simplex, Cartographic",909
1001,109,1,"Duplex, Indexical",1001
1002,109,2,"Duplex, Indexical",1002
1003,109,3,"Duplex, Indexical",1003
1004,109,4,"Duplex, Indexical",1004
1005,109,5,"Duplex, Indexical",1005
1006,109,6,"Duplex, Indexical",1006
1007,109,7,"Duplex, Indexical",1007
1008,109,8,"Duplex, Indexical",1008
1009,109,9,"Duplex, Indexical",1009
1010,109,10,"Duplex, Indexical",1010
1011,109,11,"Duplex, Indexical",1011
1012,109,12,"Duplex, Indexical",1012
1013,109,13,"Duplex, Indexical",1013
1014,109,14,"Duplex, Indexical",1014
1015,109,15,"Duplex, Indexical",1015
1016,109,16,"Duplex, Indexical",1016
1017,109,17,"Duplex, Indexical",1017
1018,109,18,"Duplex, Indexical",1018
1019,109,19,"Duplex, Indexical",1019
1020,109,20,"Duplex, Indexical",1020
1021,110,1,"Duplex, Indexical",1021
1022,110,2,"Duplex, Indexical",1022
1023,110,3,"Duplex, Indexical",1023
1024,110,4,"Duplex, Indexical",1024
1025,110,5,"Duplex, Indexical",1025
1026,110,6,"Duplex, Indexical",1026
1027,110,7,"Duplex, Indexical",1027
1028,110,8,"Duplex, Indexical",1028
1029,110,9,"Duplex, Indexical",1029
1030,110,10,"Duplex, Indexical",1030
1031,110,11,"Duplex, Indexical",1031
1032,110,12,"Duplex, Indexical",1032
1033,110,13,"Duplex, Indexical",1033
1034,110,14,"Duplex, Indexical",1034
1035,110,15,"Duplex, Indexical",1035
1036,110,16,"Duplex, Indexical",1036
1037,110,17,"Duplex, Indexical",1037
1038,110,18,"Duplex, Indexical",1038
1039,110,19,"Duplex, Indexical",1039
1040,110,20,"Duplex, Indexical",1040
1041,111,1,"Duplex, Indexical",1041
1042,111,2,"Duplex, Indexical",1042
1043,111,3,"Duplex, Indexical",1043
1044,111,4,"Duplex, Indexical",1044
1045,111,5,"Duplex, Indexical",1045
1046,111,6,"Duplex, Indexical",1046
1047,111,7,"Duplex, Indexical",1047
1048,111,8,"Duplex, Indexical",1048
1049,111,9,"Duplex, Indexical",1049
1050,111,10,"Duplex, Indexical",1050
1051,111,11,"Duplex, Indexical",1051
1052,111,12,"Duplex, Indexical",1052
1053,111,13,"Duplex, Indexical",1053
1054,111,14,"Duplex, Indexical",1054
1055,111,15,"Duplex, Indexical",1055
1056,111,16,"Duplex, Indexical",1056
1057,111,17,"Duplex, Indexical",1057
1058,111,18,"Duplex, Indexical",1058
1059,111,19,"Duplex, Indexical",1059
1060,111,20,"Duplex, Indexical",1060
1061,112,1,"Duplex, Indexical",1061
1062,112,2,"Duplex, Indexical",1062
1063,112,3,"Duplex, Indexical",1063
1064,112,4,"Duplex, Indexical",1064
1065,112,5,"Duplex, Indexical",1065
1066,112,6,"Duplex, Indexical",1066
1067,112,7,"Duplex, Indexical",1067
1068,112,8,"Duplex, Indexical",1068
1069,112,9,"Duplex, Indexical",1069
1070,112,10,"Duplex, Indexical",1070
1071,112,11,"Duplex, Indexical",1071
1072,112,12,"Duplex, Indexical",1072
1073,112,13,"Duplex, Indexical",1073
1074,112,14,"Duplex, Indexical",1074
1075,112,15,"Duplex, Indexical",1075
1076,112,16,"Duplex, Indexical",1076
1101,113,1,"Duplex, Indexical",1101
1102,113,2,"Duplex, Indexical",1102
1103,113,3,"Duplex, Indexical",1103
1104,113,4,"Duplex, Indexical",1104
1105,113,5,"Duplex, Indexical",1105
1106,113,6,"Duplex, Indexical",1106
1107,113,7,"Duplex, Indexical",1107
1108,113,8,"Duplex, Indexical",1108
1109,113,9,"Duplex, Indexical",1109
1110,113,10,"Duplex, Indexical",1110
