Glyph Number,Left Bearing,Right Bearing,SVG Path
199,-14,13,M-10-10L-10 5M-10-10L-9-9L-9 4M-3-8L-3 1L-4 5L-6 8L-8 10M-3-8L-2-8L-2 1L-3 5L-5 8L-8 10M-9-9L-2-12L-1-11M-9-9L-1-11M-7-4L-6-1L-5-1L-5-2L-7-4M-11 5L-6 3M-11 5L-10 6L-6 3M2-10L2 10M2-10L3-9L3 10M3-9L9-9M9-9L9 6L8 7M9-9L9-10L10-9L10 6L9 8L8 7L6 6M5-3L6 0L7 0L7-1L5-3
202,-14,13,M0-10L1-11L-1-12L-1 10M0-11L0 10M-9-8L9-8L7-10L5-8M5-8L8-9M-7-7L-6-6L-5-4L-4-4L-4-5L-5-6L-7-7M5-7L2-2M5-7L6-6L2-2M-11-2L11-2L9-4L7-2M7-2L10-3M-1-2L-2 0L-4 3L-6 5L-10 8M-1 0L-3 3L-5 5L-8 7L-10 8M1-2L2 1L4 4L6 6L9 8L11 7M2 1L5 4L8 6L11 7
211,-14,13,M-9-10L-1-11L6-12L8-11M-9-10L8-11M-1-11L-1 9M0-11L0 9M-10-6L10-6L8-7L7-6M-6-6L-6 4M-5-6L-5 4M4-6L4 4M5-6L5 4M-11-1L11-1L9-3L7-1M7-1L10-2M-10 4L10 4L8 3L7 4M-11 9L11 9L9 7L7 9M7 9L10 8
213,-14,13,M0-11L1-12L-1-12L-1 10M0-11L0 10M-11-10L11-10L9-11L8-10M-6-6L-8-7L-8 3M-7-6L-7 3M-7-6L6-6M5-6L6-7L8-6L7-4M6-6L6 3M7-6L7 3M-7-2L6-2M-7 2L6 2M-1 2L-4 5L-7 7L-11 9M-1 4L-4 6L-6 7L-11 9M0 2L3 6L6 8L9 9L11 8M0 2L3 5L7 7L11 8
223,-14,13,M-9-10L-1-11L5-12L7-11M-9-10L7-11M-1-11L-1 10M0-11L0 10M-10-7L10-7L9-8L8-7M-6-7L-6 1M-5-7L-5 1M4-7L4 1M5-7L5 1M-11-3L11-3L9-4L8-3M-10 1L10 1L9 0L8 1M-2 1L-5 5L-8 7L-10 8M-1 2L-4 5L-7 7L-10 8M1 1L2 3L4 5L7 7L10 8L11 7M2 3L5 5L7 6L11 7
224,-14,13,M-1-11L-1 9M0-11L0 9M-9-10L-1-11L6-12L8-11M-9-10L8-11M-10-7L10-7L8-8L7-7M-8-5L-8 2M-8-5L-7-4L-7 2M-7-4L6-4M6-4L6 2M5-4L6-5L7-4L7 2M-7-1L6-1M-8 2L7 2M-10 5L10 5L8 4L7 5M-11 9L11 9L9 8L8 9
230,-14,13,M1-13L-1-13L-2-11M1-13L-2-11M-5-11L-7-12L-7 2M-6-11L-6 2M-6-11L5-11M4-11L5-12L7-11L6-9M5-11L5-5M6-11L6-5M-6-8L5-8M-6-5L6-5M-6-2L9-2L7-3L6-2M-6 1L9 1M8 1L9 0L11 1L9 3M9 1L8 8L7 9M10 1L9 8L8 10L7 9L5 8M-4 3L-4 8M-4 3L-3 3L-3 8M-10 4L-10 9M-10 4L-9 4L-9 9M-9 8L2 8M2 4L2 9M2 4L3 4L3 9
260,-14,13,M-9-11L3-11M0-11L2-12L4-10M2-12L1-10L-8 2L-9 4L-9 6L-8 8L-6 9L9 9L10 8L9 6M3-11L1-9M8 8L9 8L9 7M4-10L2-9L1-8L-7 2L-8 4L-8 6L-7 7L-5 8L7 8L9 6L10 3
261,-14,13,M-5-9L-4-10L-6-11L-6 8L-5 9L7 9L8 8L7 6M6 8L7 8L7 7M-5-10L-5 7L-4 8L5 8L7 6L8 3M-10-1L-4-2L1-3L9-5L6-6L5-4M5-4L7-5
272,-14,13,M0-12L1-13L-1-13L-1 6L-2 8L-3 9M-1 7L-1 8L-2 9M0-12L0 8L-1 10L-2 10L-3 9L-5 8M-11-10L11-10L9-11L8-10M-8-8L-8-4M-8-8L-7-7L-7-4M-7-7L6-7M6-7L6-4M5-7L6-8L7-7L7-4M-8-4L7-4M-10-1L6-1M6-1L6 6M5-1L6-2L7-1L7 6M-11 2L11 2L9 1L8 2M-10 5L6 5
